XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
251719.10266911,3323730.40779308,52,58,30,24.4901224100844
251655.82590785,3323732.39699900,56,38,28,22.8645678820539
251655.82590785,3323732.39699900,56,58,29,43.7589979279473
251655.82590785,3323732.39699900,56,62,31,34.5948579431874
251698.31139976,3323742.87711719,58,56,29,43.7589979279473
251698.31139976,3323742.87711719,58,52,30,24.4901224100844
251698.31139976,3323742.87711719,58,68,34,46.4394446680136
251641.38800214,3323763.82406439,62,56,31,34.5948579431874
251641.38800214,3323763.82406439,62,69,35,71.1729601122949
251641.38800214,3323763.82406439,62,78,39,190.01620822978
252062.21352657,3323767.26315307,64,32,32,94.6114078957557
252062.21352657,3323767.26315307,64,10,33,239.142245789694
252062.21352657,3323767.26315307,64,78,40,525.596817760221
251722.50436848,3323782.50841908,68,58,34,46.4394446680136
251722.50436848,3323782.50841908,68,69,36,35.4385000381238
251722.50436848,3323782.50841908,68,76,38,82.4771237600114
251697.17357705,3323807.29225031,69,62,35,71.1729601122949
251697.17357705,3323807.29225031,69,68,36,35.4385000381238
251697.17357705,3323807.29225031,69,73,37,47.2219786361697
251723.31186899,3323845.87040322,73,69,37,47.2219786361697
251758.70335419,3323853.82600441,76,68,38,82.4771237600114
251565.03518664,3323935.77273131,78,62,39,190.01620822978
251565.03518664,3323935.77273131,78,64,40,525.596817760221
251565.03518664,3323935.77273131,78,81,41,256.194248666228
251318.30986661,3324004.43217903,81,78,41,256.194248666228
251318.30986661,3324004.43217903,81,84,43,20.9544319806748
251318.30986661,3324004.43217903,81,107,54,188.900700771799
251299.37405194,3323891.91717807,83,84,42,116.759532032535
251297.78759682,3324008.66593173,84,83,42,116.759532032535
251297.78759682,3324008.66593173,84,81,43,20.9544319806748
251297.78759682,3324008.66593173,84,88,45,76.6746161516545
251297.78759682,3324008.66593173,84,122,62,311.323730851359
251240.15621689,3323923.44489430,87,88,44,100.079370318141
251222.09113911,3324020.57670200,88,87,44,100.079370318141
251222.09113911,3324020.57670200,88,84,45,76.6746161516545
251222.09113911,3324020.57670200,88,91,46,75.5626067321144
251222.09113911,3324020.57670200,88,118,60,290.965283529763
251147.16784550,3324030.38524989,91,88,46,75.5626067321144
251147.16784550,3324030.38524989,91,94,48,44.5326620388294
251147.16784550,3324030.38524989,91,209,105,554.949822101245
251081.43705746,3323984.03093792,93,94,47,56.429454189129
251103.01285845,3324036.17274564,94,93,47,56.429454189129
251103.01285845,3324036.17274564,94,91,48,44.5326620388294
251103.01285845,3324036.17274564,94,98,50,113.480472685441
250984.16511534,3324009.33699415,97,98,49,41.9973580706905
250990.39208062,3324050.04931755,98,97,49,41.9973580706905
250990.39208062,3324050.04931755,98,94,50,113.480472685441
250990.39208062,3324050.04931755,98,101,52,208.366928009508
250783.14936195,3324071.66487323,101,102,51,24.6234817112972
250783.14936195,3324071.66487323,101,98,52,208.366928009508
250783.14936195,3324071.66487323,101,105,53,64.7120719445648
250758.80466620,3324067.97006062,102,101,51,24.6234817112972
250718.78687731,3324078.38222582,105,101,53,64.7120719445648
251475.09214335,3324108.90448900,107,81,54,188.900700771799
251475.09214335,3324108.90448900,107,129,65,336.884427275614
251475.09214335,3324108.90448900,107,140,71,287.513865530171
252068.82214804,3324262.09756224,109,110,55,90.3143674286879
252068.82214804,3324262.09756224,109,111,56,13.0330891968324
252068.82214804,3324262.09756224,109,134,67,126.711067802211
251993.15117076,3324212.79656670,110,109,55,90.3143674286879
252081.79404547,3324263.35902618,111,109,56,13.0330891968324
252081.79404547,3324263.35902618,111,113,57,177.015632872057
252081.79404547,3324263.35902618,111,166,84,160.126367501057
252219.16699912,3324155.17666603,113,111,57,177.015632872057
251143.46616572,3324304.55546841,115,116,58,9.11118280053921
251152.54649657,3324305.30463032,116,115,58,9.11118280053921
251152.54649657,3324305.30463032,116,117,28122,12.9813700154525
251165.50679612,3324306.04395636,117,118,59,11.8402752767864
251165.50679612,3324306.04395636,117,116,28122,12.9813700154525
251177.19909982,3324307.91000912,118,117,59,11.8402752767864
251177.19909982,3324307.91000912,118,88,60,290.965283529763
251177.19909982,3324307.91000912,118,122,61,126.218705613089
251177.19909982,3324307.91000912,118,448,227,1369.7417653271
251301.89737259,3324319.96253488,122,118,61,126.218705613089
251301.89737259,3324319.96253488,122,84,62,311.323730851359
251301.89737259,3324319.96253488,122,135,68,48.3397182677915
251301.89737259,3324319.96253488,122,152,76,71.6954943083029
250759.31328988,3324329.19773114,125,126,63,112.458153553359
250759.31328988,3324329.19773114,125,128,64,35.9676913034115
250759.31328988,3324329.19773114,125,131,66,22.7087466713407
250663.68625034,3324290.64960906,126,125,63,112.458153553359
250773.61706649,3324297.96079151,128,125,64,35.9676913034115
