XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
358597.95660699,3342420.91024839,134,150,75,1888.01381401099
357319.17129330,3342745.42197243,138,102,69,882.946374169219
357319.17129330,3342745.42197243,138,125,70,412.319074957073
357319.17129330,3342745.42197243,138,142,71,26.0568461620387
357319.17129330,3342745.42197243,138,178,89,4399.81270709994
357297.71072701,3342760.20044754,142,138,71,26.0568461620387
357297.71072701,3342760.20044754,142,151,23382,89.8056306359496
356630.60905959,3343003.20999699,143,129,72,671.092268119011
353252.90143716,3343158.93210841,145,95,73,2745.93713361951
358914.00489551,3343211.90571754,147,125,74,1606.91385614478
360282.98478362,3343264.48499305,150,134,75,1888.01381401099
360282.98478362,3343264.48499305,150,158,79,1536.66486148208
357218.86962334,3342803.15048269,151,152,76,1007.77628057106
357218.86962334,3342803.15048269,151,142,23382,89.8056306359496
356323.23407011,3343265.14947717,152,151,76,1007.77628057106
356323.23407011,3343265.14947717,152,166,83,893.221977759794
356323.23407011,3343265.14947717,152,170,85,3181.50903604205
360277.50129054,3343278.38867837,153,121,77,2117.0617786853
360277.50129054,3343278.38867837,153,161,81,1530.67632873044
319876.53241764,3343803.05804393,155,156,78,467.780088960169
319876.53241764,3343803.05804393,155,173,87,4091.77828022163
319582.66350358,3343475.43238280,156,155,78,467.780088960169
361714.40855753,3343823.38111576,158,150,79,1536.66486148208
361714.40855753,3343823.38111576,158,160,80,4003.28313236185
361714.40855753,3343823.38111576,158,161,82,16.1195893790948
361714.40855753,3343823.38111576,158,316,158,8643.2062134112
358474.60113839,3342059.20870308,160,158,80,4003.28313236185
361703.34684004,3343835.10628390,161,153,81,1530.67632873044
361703.34684004,3343835.10628390,161,158,82,16.1195893790948
361703.34684004,3343835.10628390,161,178,90,1240.27798673601
361703.34684004,3343835.10628390,161,285,143,8198.98463231848
356236.92874457,3344032.10792562,166,152,83,893.221977759794
356236.92874457,3344032.10792562,166,168,84,279.61492279005
356236.92874457,3344032.10792562,166,186,94,1754.63053675638
356236.92874457,3344032.10792562,166,206,104,1956.90270982679
356504.15483370,3344020.83325799,168,166,84,279.61492279005
353345.15559656,3344180.20954245,170,152,85,3181.50903604205
353345.15559656,3344180.20954245,170,172,86,1061.38355804381
353345.15559656,3344180.20954245,170,186,93,1889.32213096711
352321.28126210,3344419.22868959,172,170,86,1061.38355804381
352321.28126210,3344419.22868959,172,473,237,11193.1360192
320051.72097090,3344678.27735716,173,155,87,4091.77828022163
320051.72097090,3344678.27735716,173,175,88,2299.38832852933
321220.91962001,3344460.67086437,175,173,88,2299.38832852933
321220.91962001,3344460.67086437,175,273,137,4477.08842820676
361008.08888483,3344861.54847269,178,138,89,4399.81270709994
361008.08888483,3344861.54847269,178,161,90,1240.27798673601
361008.08888483,3344861.54847269,178,182,91,107.879248418138
361087.17141963,3344934.92343387,182,178,91,107.879248418138
361087.17141963,3344934.92343387,182,184,92,172.94247133426
361087.17141963,3344934.92343387,182,193,97,213.523964678988
361259.73247297,3344946.40303588,184,182,92,172.94247133426
361259.73247297,3344946.40303588,184,196,98,702.334421724431
361259.73247297,3344946.40303588,184,197,99,1479.45451688743
354975.90523470,3345119.71249915,186,170,93,1889.32213096711
354975.90523470,3345119.71249915,186,166,94,1754.63053675638
354975.90523470,3345119.71249915,186,189,96,12.0353818572971
354975.90523470,3345119.71249915,186,200,100,1047.8904558949
354968.14528746,3345128.91215323,189,190,95,1889.07215000543
354968.14528746,3345128.91215323,189,186,96,12.0353818572971
354968.14528746,3345128.91215323,189,201,101,1055.37042798542
354968.14528746,3345128.91215323,189,219,110,1277.3983517489
353337.79622582,3344189.22051987,190,189,95,1889.07215000543
361016.61266147,3345136.45245197,193,182,97,213.523964678988
361716.07802689,3345342.08473453,196,184,98,702.334421724431
362597.45115616,3345529.55811871,197,184,99,1479.45451688743
355925.10170867,3345563.67247637,200,186,100,1047.8904558949
355925.10170867,3345563.67247637,200,201,102,12.4154685384978
355925.10170867,3345563.67247637,200,206,103,507.674810528011
355924.11377150,3345576.04857588,201,189,101,1055.37042798542
355924.11377150,3345576.04857588,201,200,102,12.4154685384978
355924.11377150,3345576.04857588,201,209,105,503.309311223757
355924.11377150,3345576.04857588,201,213,107,310.450984957235
356384.94911488,3345778.78657690,206,200,103,507.674810528011
356384.94911488,3345778.78657690,206,166,104,1956.90270982679
356384.94911488,3345778.78657690,206,209,106,13.6651596104705
356384.94911488,3345778.78657690,206,510,255,11028.1197783706
356379.09535533,3345791.13445471,209,201,105,503.309311223757
356379.09535533,3345791.13445471,209,206,106,13.6651596104705
356379.09535533,3345791.13445471,209,216,109,130.646796319738
356379.09535533,3345791.13445471,209,939,470,21162.4793941327
355965.47013272,3345859.15518188,213,201,107,310.450984957235
355965.47013272,3345859.15518188,213,216,108,375.471983935562
355965.47013272,3345859.15518188,213,236,119,1004.61878075595
355965.47013272,3345859.15518188,213,265,134,1739.07603987807
356323.16329087,3345909.20303458,216,213,108,375.471983935562
356323.16329087,3345909.20303458,216,209,109,130.646796319738
356323.16329087,3345909.20303458,216,292,146,2261.71118841442
354238.51594235,3345989.66315365,219,189,110,1277.3983517489
354238.51594235,3345989.66315365,219,223,112,322.960202507122
354238.51594235,3345989.66315365,219,236,118,1386.52607711828
362428.44898785,3346126.52852647,221,222,111,166.767915890468
362428.44898785,3346126.52852647,221,225,113,242.587263030486
362428.44898785,3346126.52852647,221,242,121,417.703308611421
362304.58093012,3346014.86724381,222,221,111,166.767915890468
354018.78573157,3346220.81178352,223,219,112,322.960202507122
354018.78573157,3346220.81178352,223,231,116,1099.29182636878
354018.78573157,3346220.81178352,223,243,122,268.998043852736
362643.30682844,3346239.15484896,225,221,113,242.587263030486
362643.30682844,3346239.15484896,225,227,114,267.671825372839
362643.30682844,3346239.15484896,225,250,125,380.840052773049
362880.38421801,3346363.42277504,227,225,114,267.671825372839
362880.38421801,3346363.42277504,227,230,115,140.495713558583
362880.38421801,3346363.42277504,227,255,128,346.612607051118
362880.38421801,3346363.42277504,227,259,130,584.140579397862
362937.85289725,3346235.21826484,230,227,115,140.495713558583
353052.73558665,3346179.40025844,231,223,116,1099.29182636878
329978.42002246,3346303.83933266,233,234,117,164.574418989725
330055.14823786,3346428.61659222,234,233,117,164.574418989725
