361008.08888483 3344861.54847269,361087.17141963 3344934.92343387
361087.17141963 3344934.92343387,361259.73247297 3344946.40303588
353345.15559656 3344180.20954245,354975.90523470 3345119.71249915
354975.90523470 3345119.71249915,356236.92874457 3344032.10792562
353337.79622582 3344189.22051987,354968.14528746 3345128.91215323
354968.14528746 3345128.91215323,354975.90523470 3345119.71249915
361016.61266147 3345136.45245197,361087.17141963 3344934.92343387
361259.73247297 3344946.40303588,361716.07802689 3345342.08473453
361259.73247297 3344946.40303588,362597.45115616 3345529.55811871
354975.90523470 3345119.71249915,355925.10170867 3345563.67247637
354968.14528746 3345128.91215323,355924.11377150 3345576.04857588
355924.11377150 3345576.04857588,355925.10170867 3345563.67247637
355925.10170867 3345563.67247637,356384.94911488 3345778.78657690
356236.92874457 3344032.10792562,356384.94911488 3345778.78657690
355924.11377150 3345576.04857588,356379.09535533 3345791.13445471
356379.09535533 3345791.13445471,356384.94911488 3345778.78657690
355924.11377150 3345576.04857588,355965.47013272 3345859.15518188
355965.47013272 3345859.15518188,356323.16329087 3345909.20303458
356323.16329087 3345909.20303458,356379.09535533 3345791.13445471
354238.51594235 3345989.66315365,354968.14528746 3345128.91215323
362304.58093012 3346014.86724381,362428.44898785 3346126.52852647
354018.78573157 3346220.81178352,354238.51594235 3345989.66315365
362428.44898785 3346126.52852647,362643.30682844 3346239.15484896
362643.30682844 3346239.15484896,362880.38421801 3346363.42277504
362880.38421801 3346363.42277504,362937.85289725 3346235.21826484
353052.73558665 3346179.40025844,354018.78573157 3346220.81178352
329978.42002246 3346303.83933266,330055.14823786 3346428.61659222
354238.51594235 3345989.66315365,355276.48641334 3346436.96123073
355276.48641334 3346436.96123073,355965.47013272 3345859.15518188
355165.89851149 3346423.88064215,355276.48641334 3346436.96123073
362188.44323729 3346468.39588923,362428.44898785 3346126.52852647
354018.78573157 3346220.81178352,354074.62256689 3346476.52125528
329972.06903267 3346293.51134434,330105.73628136 3346510.88438091
354074.62256689 3346476.52125528,355165.89851149 3346423.88064215
362450.93497041 3346567.83739191,362643.30682844 3346239.15484896
330152.97190518 3346587.66833305,330168.77432665 3346630.62214661
330165.98659021 3346608.82459015,330168.77432665 3346630.62214661
362733.77972659 3346677.50464727,362880.38421801 3346363.42277504
330206.32695092 3346682.81114779,330209.80181766 3346680.04990279
362880.38421801 3346363.42277504,363360.29726647 3346690.62449592
330008.89943694 3346858.39323558,330163.63730935 3346715.81288870
363169.36931710 3346995.66561598,363360.29726647 3346690.62449592
355165.89851149 3346423.88064215,355359.83311613 3347337.34023549
355359.83311613 3347337.34023549,355965.47013272 3345859.15518188
412583.76002106 3345374.77008473,413988.94153412 3347339.12200228
413988.94153412 3347339.12200228,414337.53976499 3347107.17664328
321220.91962001 3344460.67086437,322778.93639434 3347559.65304318
354875.16176288 3347628.94488086,355337.36280549 3347725.34856994
355337.36280549 3347725.34856994,355359.83311613 3347337.34023549
354248.58234770 3347728.70556183,354875.16176288 3347628.94488086
354069.82996623 3347754.46734247,354074.62256689 3346476.52125528
354069.82996623 3347754.46734247,354248.58234770 3347728.70556183
361703.34684004 3343835.10628390,368716.16857112 3347926.29745702
330178.76665717 3346629.59954906,331217.81152748 3347946.92744959
330168.77432665 3346630.62214661,331213.02517133 3347956.10328099
